PHRASE,ADDITIONAL STANDARD,TYPE,DISEASE
#blinkhealth,blinkhealth,card,
blink,blinkhealth,card,
blink account,blinkhealth,card,
blink card,blinkhealth,card,
blink commercial,blinkhealth,card,
blink experience,blinkhealth,card,
blink health,blinkhealth,card,
blink health,blinkhealth,card,
blink health gospel,blinkhealth,card,
blink health nation,blinkhealth,card,
blink health price,blinkhealth,card,
blink health purchase,blinkhealth,card,
blink health site,blinkhealth,card,
blink purchase,blinkhealth,card,
blink today,blinkhealth,card,
manufacturer coupon,coupon,card,
#goodrx,goodrx,card,
#goodrxhelps,goodrx,card,
good rx,goodrx,card,
goodrx customer,goodrx,card,
goodrx hq,goodrx,card,
google goodrx,goodrx,card,
q3 goodrx,goodrx,card,
rx gold,goodrx,card,
prescription/health card,"health savings, health card",card,
rx affiliate programs,"health savings, health card",card,
savings card,"health savings, health card",card,
specialty rx,"health savings, health card",card,
startup health company,"health savings, health card",card,
#honeybee,honeybee,card,
beelievers,honeybee,card,
keppra rx,keppra,card,
pillpack,"pill pack, pharmacy",card,
job pill pack,pillpack,card,
pill box,pillpack,card,
pill pack team,pillpack,card,
pillpack account today,pillpack,card,
pillpacks,pillpack,card,
pillpak today,pillpack,card,
blinkhealth,,card,
pillpack,,card,
honeybee issue,honeybee,card-,
accept blink,blinkhealth,card+,
blink bulletin,blinkhealth,card+,
blink health customer care team,blinkhealth,card+,
blink health team,blinkhealth,card+,
blink nation,blinkhealth,card+,
blink rx,blinkhealth,card+,
blink savings,blinkhealth,card+,
blink story,blinkhealth,card+,
blink voucher,blinkhealth,card+,
blinkers,blinkhealth,card+,
competition prices,cost saver,card+,
consumer choice,cost saver,card+,
consumer empowerment,cost saver,card+,
cost savings,cost saver,card+,
drug rebates,cost saver,card+,
empathy cards,cost saver,card+,
health care savings,cost saver,card+,
insulin savings program,cost saver,card+,
manufacturer copay offer,cost saver,card+,
manufacturer savings cards,cost saver,card+,
membership prices,cost saver,card+,
money saver,cost saver,card+,
pharmacy membership programs,cost saver,card+,
prescription savings,cost saver,card+,
coupon cards,coupon,card+,
